name,all_reviews,popular_tags,genre,original_price,discount_price
DOOM,"Very Positive,(42,550),- 92% of the 42,550 user reviews for this game are positive.","FPS,Gore,Action,Demons,Shooter,First-Person,Great Soundtrack,Multiplayer,Singleplayer,Fast-Paced,Sci-fi,Horror,Classic,Atmospheric,Difficult,Blood,Remake,Zombies,Co-op,Memes",Action,$19.99,$14.99
PLAYERUNKNOWN'S BATTLEGROUNDS,"Mixed,(836,608),- 49% of the 836,608 user reviews for this game are positive.","Survival,Shooter,Multiplayer,Battle Royale,PvP,FPS,Third-Person Shooter,Action,Online Co-Op,Tactical,Co-op,First-Person,Early Access,Strategy,Competitive,Third Person,Team-Based,Difficult,Simulation,Stealth","Action,Adventure,Massively Multiplayer",$29.99,
BATTLETECH,"Mostly Positive,(7,030),- 71% of the 7,030 user reviews for this game are positive.","Mechs,Strategy,Turn-Based,Turn-Based Tactics,Sci-fi,Turn-Based Strategy,Tactical,Singleplayer,Robots,RPG,Action,Multiplayer,Futuristic,Character Customization,Management,Adventure,Space,Story Rich,Great Soundtrack,Difficult","Action,Adventure,Strategy",$39.99,
DayZ,"Mixed,(167,115),- 61% of the 167,115 user reviews for this game are positive.","Survival,Zombies,Open World,Multiplayer,PvP,Massively Multiplayer,Action,Early Access,Simulation,FPS,Post-apocalyptic,Survival Horror,Shooter,Sandbox,Adventure,Indie,Co-op,Atmospheric,Horror,Military","Action,Adventure,Massively Multiplayer",$44.99,
EVE Online,"Mostly Positive,(11,481),- 74% of the 11,481 user reviews for this game are positive.","Space,Massively Multiplayer,Sci-fi,Sandbox,MMORPG,Open World,RPG,PvP,Multiplayer,Free to Play,Economy,Strategy,Space Sim,Simulation,Action,Difficult,Tactical,Capitalism,PvE,Atmospheric","Action,Free to Play,Massively Multiplayer,RPG,Strategy",Free,
Grand Theft Auto V: Premium Online Edition,,,"Action,Adventure",,$35.18
Devil May Cry 5,"Very Positive,(9,645),- 92% of the 9,645 user reviews for this game are positive.","Action,Hack and Slash,Great Soundtrack,Demons,Character Action Game,Spectacle fighter,Third Person,Violent,Singleplayer,Classic,Stylized,Gore,Story Rich,Nudity,Multiplayer,Controller,Difficult,Adventure,Anime,Family Friendly",Action,$59.99,$70.42
Human: Fall Flat,"Very Positive,(23,763),- 91% of the 23,763 user reviews for this game are positive.","Funny,Multiplayer,Co-op,Puzzle,Physics,Local Co-Op,Comedy,Adventure,Indie,Parkour,Puzzle-Platformer,Local Multiplayer,Sandbox,Casual,Open World,Singleplayer,3D Platformer,Split Screen,Simulation,Survival","Adventure,Indie",$14.99,$17.58
They Are Billions,"Very Positive,(12,127),- 85% of the 12,127 user reviews for this game are positive.","Early Access,Base Building,Strategy,Zombies,Survival,RTS,Steampunk,City Builder,Tower Defense,Post-apocalyptic,Building,Singleplayer,Resource Management,Real-Time with Pause,Early Access,Difficult,Tactical,Management,Indie,Isometric","Strategy,Early Access",$29.99,
Warhammer: Chaosbane,"Mixed,(904),- 44% of the 904 user reviews for this game are positive.","RPG,Adventure,Hack and Slash,Action,Action RPG,Games Workshop,Violent,Fantasy,Co-op,War,Isometric,Dark Fantasy,Warhammer 40K,Historical,Colorful","Action,Adventure,RPG",$49.99,
For The King,"Very Positive,(4,600),- 83% of the 4,600 user reviews for this game are positive.","RPG,Turn-Based Combat,Adventure,Online Co-Op,Co-op,Strategy,Rogue-like,Turn-Based,Multiplayer,Turn-Based Strategy,Party-Based RPG,Indie,Fantasy,Board Game,Strategy RPG,Hex Grid,Rogue-lite,Difficult,Local Co-Op,Early Access","Adventure,Indie,RPG,Strategy",$19.99,
Danganronpa V3: Killing Harmony,"Very Positive,(3,547),- 84% of the 3,547 user reviews for this game are positive.","Story Rich,Anime,Visual Novel,Detective,Mystery,Great Soundtrack,Female Protagonist,Singleplayer,Adventure,Psychological Horror,Dark Humor,Horror,Dark Comedy,Puzzle,Atmospheric,Memes,Dark,Funny,Comedy,Dating Sim",Adventure,$39.99,$59.97
